_id,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,circulating_supply,current_price,fully_diluted_valuation,high_24h,id,image,last_updated,low_24h,market_cap,market_cap_change_24h,market_cap_change_percentage_24h,market_cap_rank,max_supply,name,price_change_24h,price_change_percentage_24h,roi,roi.currency,roi.percentage,roi.times,symbol,total_supply,total_volume
token/bitcoin,69045.0,-58.46868,2021-11-10T14:24:11.849Z,67.81,42188.19294,2013-07-06T00:00:00.000Z,19038225.0,28918.0,607624728083.0,30121.0,bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,2022-05-12T23:13:10.787Z,26597.0,550861728038.0,1567726165.0,0.28541,1.0,21000000.0,Bitcoin,120.03,0.41681,,,,,btc,21000000.0,61397273693.0
token/ethereum,4878.26,-60.67544,2021-11-10T14:24:19.604Z,0.432979,442959.66798,2015-10-20T00:00:00.000Z,120753823.5615,1945.73,,2172.64,ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,2022-05-12T23:15:22.117Z,1774.8,236331092376.0,-13837027637.335785,-5.53109,2.0,,Ethereum,-124.95303684684244,-6.03437,,btc,8863.406314729,88.63406314729,eth,,41497474113.0
token/tether,1.32,-24.37193,2018-07-24T00:00:00.000Z,0.572521,74.77637,2015-03-02T00:00:00.000Z,81169594182.5776,0.997091,,1.011,tether,https://assets.coingecko.com/coins/images/325/large/Tether-logo.png?1598003707,2022-05-12T23:12:34.399Z,0.98095,81060928624.0,-1629967087.0623932,-1.97116,3.0,,Tether,0.00031266,0.03137,,,,,usdt,81169594182.5776,134117728155.0
token/usd-coin,1.17,-14.49166,2019-05-08T00:40:28.300Z,0.891848,12.43638,2021-05-19T13:14:05.611Z,49702577551.1752,1.004,,1.056,usd-coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,2022-05-12T23:16:14.687Z,0.9931,49786971123.0,774026543.0,1.57923,4.0,,USD Coin,0.00454272,0.4544,,,,,usdc,49639881218.1827,25454657605.0
token/binancecoin,686.31,-61.29684,2021-05-10T07:24:17.097Z,0.0398177,666996.14068,2017-10-19T00:00:00.000Z,168137035.9,267.27,44965576272.0,281.73,binancecoin,https://assets.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1644979850,2022-05-12T23:13:11.111Z,224.73,44965576272.0,489723924.0,1.1011,5.0,168137035.9,BNB,-3.970605905965101,-1.46386,,,,,bnb,168137035.9,5293417187.0
token/ripple,3.4,-88.84754,2018-01-07T00:00:00.000Z,0.00268621,14009.51902,2014-05-22T00:00:00.000Z,48343101197.0,0.383248,38156128153.0,0.429936,ripple,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,2022-05-12T23:16:07.292Z,0.35079,18445855646.0,-1790639864.4456024,-8.84857,6.0,100000000000.0,XRP,-0.0285419244015149,-6.93119,,,,,xrp,100000000000.0,4920493781.0
token/binance-usd,1.15,-13.12776,2020-03-13T02:35:42.953Z,0.901127,11.26985,2021-05-19T13:04:37.445Z,17123221507.91,0.999761,,1.073,binance-usd,https://assets.coingecko.com/coins/images/9576/large/BUSD.png?1568947766,2022-05-12T23:12:45.155Z,0.989087,17221855345.0,185663055.0,1.08982,7.0,,Binance USD,-0.0052542976021543,-0.52281,,,,,busd,17123221507.91,16832231861.0
token/cardano,3.09,-85.09121,2021-09-02T06:00:10.474Z,0.01925275,2290.41806,2020-03-13T02:22:55.044Z,33820262543.95,0.466641,20992145469.0,0.54478,cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,2022-05-12T23:12:57.558Z,0.408789,15776886025.0,-1161665671.5032065,-6.85812,8.0,45000000000.0,Cardano,-0.0497656400603152,-9.63691,,,,,ada,45000000000.0,2550586983.0
token/solana,259.96,-83.46068,2021-11-06T21:54:35.825Z,0.500801,8485.34299,2020-05-11T19:35:23.449Z,336923507.132563,43.87,,53.41,solana,https://assets.coingecko.com/coins/images/4128/large/solana.png?1640133422,2022-05-12T23:14:37.728Z,38.27,14729870885.0,-1572443442.3055935,-9.64552,9.0,,Solana,-4.925123858359008,-10.09318,,,,,sol,508180963.57,3795815381.0
token/dogecoin,0.731578,-88.94961,2021-05-08T05:08:23.458Z,8.69e-05,92924.98692,2015-05-06T00:00:00.000Z,132670764299.894,0.081531,,0.089014,dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256,2022-05-12T23:13:20.383Z,0.07012,10837700865.0,-407927830.3855667,-3.62743,10.0,,Dogecoin,-0.0040497929807265,-4.73212,,,,,doge,,2035289920.0
token/polkadot,54.98,-84.81168,2021-11-04T14:10:09.301Z,2.7,209.57601,2020-08-20T05:48:11.359Z,1111653114.67811,8.56,,9.4,polkadot,https://assets.coingecko.com/coins/images/12171/large/polkadot.png?1639712644,2022-05-12T23:14:29.095Z,7.43,9427946821.0,-312974194.98335457,-3.21298,11.0,,Polkadot,-0.430850710452777,-4.79183,,,,,dot,1192602248.39255,1231930904.0
token/wrapped-bitcoin,70643.0,-59.46545,2021-11-10T14:40:19.650Z,3139.17,812.18235,2019-04-02T00:00:00.000Z,284654.49000022,28942.0,8179433742.0,29950.0,wrapped-bitcoin,https://assets.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1548822744,2022-05-12T23:15:02.666Z,26080.0,8179433742.0,-5426003.739133835,-0.06629,12.0,284654.49000022,Wrapped Bitcoin,-36.9408111044213,-0.12747,,,,,wbtc,284654.49000022,1495038637.0
token/avalanche-2,144.96,-79.90587,2021-11-21T14:18:56.538Z,2.8,939.91502,2020-12-31T13:15:21.540Z,268928800.68778,29.74,21306982959.0,33.07,avalanche-2,https://assets.coingecko.com/coins/images/12559/large/coin-round-red.png?1604021818,2022-05-12T23:13:11.617Z,23.74,7958418574.0,-501661253.8952608,-5.92975,14.0,720000000.0,Avalanche,-1.1803309044997512,-3.81757,,,,,avax,377752194.4695483,1463855776.0
token/staked-ether,4829.57,-61.1521,2021-11-10T14:40:47.256Z,482.9,288.52794,2020-12-22T04:08:21.854Z,4183011.40016949,1909.29,7929737249.0,2149.52,staked-ether,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1608607546,2022-05-12T23:14:53.543Z,1770.3,7929737249.0,-751216052.3745317,-8.65361,14.0,4183011.40016949,Lido Staked Ether,-165.5910527841927,-7.98076,,,,,steth,4183011.40016949,434322023.0
token/tron,0.231673,-71.31377,2018-01-05T00:00:00.000Z,0.00180434,3583.23741,2017-11-12T00:00:00.000Z,98184314779.7054,0.067102,,0.079066,tron,https://assets.coingecko.com/coins/images/1094/large/tron-logo.png?1547035066,2022-05-12T23:14:54.265Z,0.066099,6565764660.0,-415591019.9559889,-5.95287,15.0,,TRON,-0.0077071509043421,-10.30239,,usd,3431.694211477269,34.31694211477269,trx,101900409184.273,2543869116.0
token/dai,1.22,-17.71305,2020-03-13T03:02:50.373Z,0.903243,11.0466,2019-11-25T00:04:18.137Z,6029233802.99568,0.99697,6037824200.0,1.042,dai,https://assets.coingecko.com/coins/images/9956/large/4943.png?1636636734,2022-05-12T23:12:36.621Z,0.992608,6037824200.0,-206337427.27405453,-3.30449,16.0,6029233802.99568,Dai,-0.0018080660495681,-0.18103,,,,,dai,6029233802.99568,3597592318.0
token/shiba-inu,8.616e-05,-87.72732,2021-10-28T03:54:55.568Z,5.6366e-11,18759296.60836,2020-11-28T11:26:25.838Z,549146987315505.4,1.076e-05,,1.279e-05,shiba-inu,https://assets.coingecko.com/coins/images/11939/large/shiba.png?1622619446,2022-05-12T23:15:31.834Z,9.14e-06,5886654445.0,-796277026.8725443,-11.91509,17.0,,Shiba Inu,-1.370298971e-06,-11.29295,,,,,shib,1000000000000000.0,1468002336.0
token/terrausd,1.092,-59.4912,2021-01-11T22:30:57.984Z,0.298359,48.25018,2022-05-11T13:04:35.405Z,11421999472.0344,0.426223,,0.842598,terrausd,https://assets.coingecko.com/coins/images/12681/large/UST.png?1601612407,2022-05-12T23:14:34.369Z,0.312894,4852658286.0,-5057350748.269676,-51.03276,18.0,,TerraUSD,-0.3541344921669395,-45.38108,,,,,ust,11455142884.7651,4187943416.0
token/leo-token,8.14,-37.41775,2022-02-08T17:40:10.285Z,0.799859,536.52223,2019-12-24T15:14:35.376Z,936164703.9,5.13,,5.27,leo-token,https://assets.coingecko.com/coins/images/8418/large/leo-token.png?1558326215,2022-05-12T23:14:13.454Z,4.99,4782414157.0,-150253530.8850088,-3.04609,19.0,,LEO Token,-0.1472701551130546,-2.79317,,,,,leo,985239504.0,3893347.0
token/litecoin,410.26,-84.74131,2021-05-10T03:13:07.904Z,1.15,5348.98561,2015-01-14T00:00:00.000Z,70271620.7334713,63.52,5308949985.0,69.24,litecoin,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1547033580,2022-05-12T23:15:12.605Z,55.05,4441291903.0,-276592323.2958431,-5.86263,20.0,84000000.0,Litecoin,-3.7096178980068544,-5.51744,,,,,ltc,84000000.0,1756142205.0
token/crypto-com-chain,0.965407,-81.98133,2021-11-24T15:53:54.855Z,0.0121196,1335.308,2019-02-08T00:00:00.000Z,25263013692.0,0.175175,,0.201486,crypto-com-chain,https://assets.coingecko.com/coins/images/7310/large/oCw2s3GI_400x400.jpeg?1645172042,2022-05-12T23:13:32.028Z,0.16911,4432034277.0,-498708387.4947796,-10.11427,21.0,,Cronos,-0.0185528934326729,-9.57676,,,,,cro,30263013692.0,109013132.0
token/near,20.44,-69.90746,2022-01-16T22:09:45.873Z,0.526762,1067.57548,2020-11-04T16:09:15.137Z,682359842.536898,6.3,6270239496.0,7.17,near,https://assets.coingecko.com/coins/images/10365/large/near_icon.png?1601359077,2022-05-12T23:14:32.632Z,5.39,4278559635.0,-9201258.892439842,-0.21459,22.0,1000000000.0,NEAR Protocol,-0.2128974469934714,-3.26637,,,,,near,1000000000.0,1296326433.0
token/matic-network,2.92,-79.86981,2021-12-27T02:08:34.307Z,0.00314376,18573.47905,2019-05-10T00:00:00.000Z,6872890164.27,0.599407,5951069620.0,0.7054,matic-network,https://assets.coingecko.com/coins/images/4713/large/matic-token-icon.png?1624446912,2022-05-12T23:14:42.816Z,0.517377,4090104786.0,-188030757.790195,-4.39516,23.0,10000000000.0,Polygon,-0.0663884196048677,-9.97129,,usd,22691.154960898453,226.91154960898453,matic,10000000000.0,1144193065.0
token/ftx-token,84.18,-65.47041,2021-09-09T16:59:43.151Z,1.15,2428.25987,2019-09-06T00:00:00.000Z,136538847.81874323,29.49,9809801661.0,31.18,ftx-token,https://assets.coingecko.com/coins/images/9026/large/F.png?1609051564,2022-05-12T23:14:15.864Z,26.31,4029440552.0,981224.0,0.02436,24.0,332408183.885971,FTX Token,0.050132,0.17029,,,,,ftt,332408183.885971,280097314.0
token/bitcoin-cash,3785.82,-94.97072,2017-12-20T00:00:00.000Z,76.93,147.48155,2018-12-16T00:00:00.000Z,19061649.8966512,191.88,4034350941.0,223.18,bitcoin-cash,https://assets.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1594689492,2022-05-12T23:13:50.098Z,162.61,3661970724.0,90753933.0,2.54126,25.0,21000000.0,Bitcoin Cash,-5.111649115570458,-2.5948,,,,,bch,21000000.0,1256917005.0
token/okb,44.01,-73.43631,2021-05-03T01:03:16.108Z,0.580608,1913.30865,2019-01-14T00:00:00.000Z,260143733.83,11.85,,12.16,okb,https://assets.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1642471050,2022-05-12T23:15:32.559Z,9.97,3064994854.0,101351799.0,3.41984,26.0,,OKB,0.541647,4.78938,,,,,okb,300000000.0,104921615.0
token/chainlink,52.7,-87.91492,2021-05-10T00:13:57.214Z,0.148183,4197.67044,2017-11-29T00:00:00.000Z,467009549.5205637,6.45,6452029507.0,7.32,chainlink,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1547034700,2022-05-12T23:12:59.730Z,5.66,3013159393.0,-274805224.21817064,-8.35791,28.0,1000000000.0,Chainlink,-0.5667471350153939,-8.07462,,,,,link,1000000000.0,1109843860.0
token/stellar,0.875563,-86.29801,2018-01-03T00:00:00.000Z,0.00047612,25097.15437,2015-03-05T00:00:00.000Z,24800500484.9816,0.121525,6045299843.0,0.130147,stellar,https://assets.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1552356157,2022-05-12T23:14:31.101Z,0.107235,2998422021.0,1639923.0,0.05472,28.0,50001787831.5006,Stellar,-0.0049727332192103,-3.93109,,,,,xlm,50001787831.5006,532656024.0
token/algorand,3.56,-88.66389,2019-06-20T14:51:19.480Z,0.105336,283.24827,2020-03-13T02:20:48.438Z,6811479923.77639,0.410067,4103839718.0,0.476232,algorand,https://assets.coingecko.com/coins/images/4380/large/download.png?1547039725,2022-05-12T23:13:23.350Z,0.358391,2795322185.0,-114235919.58198644,-3.92623,29.0,10000000000.0,Algorand,-0.0366811826841215,-8.2107,,usd,-82.91386219632076,-0.8291386219632075,algo,7219386880.00489,399989175.0
token/flow,42.4,-93.7513,2021-04-05T13:49:10.098Z,2.43,8.90444,2022-05-12T07:21:23.858Z,1036200000.0,2.71,,3.28,flow,https://assets.coingecko.com/coins/images/13446/large/5f6294c0c7a8cda55cb1c936_Flow_Wordmark.png?1631696776,2022-05-12T23:14:42.258Z,2.43,2793931834.0,1656663990.0,145.67052,30.0,,Flow,-0.4177259718452029,-13.37578,,,,,flow,1373338337.59667,233495959.0
token/cosmos,44.45,-79.05258,2022-01-17T00:34:41.497Z,1.16,702.60714,2020-03-13T02:27:44.591Z,292586163.827428,9.47,,11.38,cosmos,https://assets.coingecko.com/coins/images/1481/large/cosmos_hub.png?1555657960,2022-05-12T23:14:03.433Z,8.59,2743663566.0,-287026477.05194855,-9.47066,31.0,,Cosmos Hub,-1.2300670799400528,-11.49612,,usd,9369.782379289967,93.69782379289968,atom,,1091633942.0
token/ethereum-classic,167.09,-88.9331,2021-05-06T18:34:22.133Z,0.615038,2906.50806,2016-07-25T00:00:00.000Z,134740247.864183,18.73,3933302226.0,20.75,ethereum-classic,https://assets.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1547034169,2022-05-12T23:14:28.662Z,16.51,2515301931.0,-115192030.6603055,-4.3791,32.0,210700000.0,Ethereum Classic,-1.072713136352501,-5.41712,,usd,4062.125162444911,40.62125162444911,etc,210700000.0,785642758.0
token/monero,542.33,-75.00429,2018-01-09T00:00:00.000Z,0.216177,62607.10405,2015-01-14T00:00:00.000Z,18120280.7766836,136.8,,154.49,monero,https://assets.coingecko.com/coins/images/69/large/monero_logo.png?1547033729,2022-05-12T23:14:33.459Z,119.71,2478907984.0,-140736319.51354885,-5.37234,33.0,,Monero,-4.778089848890801,-3.37479,,,,,xmr,,283746364.0
token/apecoin,26.7,-72.63776,2022-04-28T21:44:21.164Z,5.28,38.47537,2022-05-11T21:32:44.257Z,284843750.0,7.56,7528497609.0,8.82,apecoin,https://assets.coingecko.com/coins/images/24383/large/apecoin.jpg?1647476455,2022-05-12T23:13:54.319Z,5.39,2144445491.0,521024402.0,32.09422,35.0,1000000000.0,ApeCoin,1.99,35.7459,,,,,ape,1000000000.0,2336749647.0
token/uniswap,44.92,-89.79205,2021-05-03T05:25:04.822Z,1.03,345.09246,2020-09-17T01:20:38.214Z,456489583.4010546,4.65,4619551837.0,5.14,uniswap,https://assets.coingecko.com/coins/images/12504/large/uniswap-uni.png?1600306604,2022-05-12T23:16:11.800Z,3.77,2108777294.0,-122353410.96166848,-5.48392,35.0,1000000000.0,Uniswap,-0.2554098170422287,-5.20832,,,,,uni,1000000000.0,292665230.0
token/theta-fuel,0.68159,-91.4282,2021-06-09T06:50:55.818Z,0.00090804,6334.14051,2020-03-13T02:30:37.972Z,0.0,0.059565,,0.073098,theta-fuel,https://assets.coingecko.com/coins/images/8029/large/1_0YusgngOrriVg4ZYx4wOFQ.png?1553483622,2022-05-12T23:16:00.537Z,0.054167,1886178774.0,49552231.0,2.698,36.0,,Theta Fuel,-0.0105500918089884,-15.04691,,,,,tfuel,5301200000.0,29042660.0
token/magic-internet-money,1.041,-4.61846,2021-10-06T13:25:17.751Z,0.919196,8.02639,2021-12-04T05:29:56.806Z,1825904628.63036,0.995661,,1.016,magic-internet-money,https://assets.coingecko.com/coins/images/16786/large/mimlogopng.png?1624979612,2022-05-12T23:15:00.866Z,0.98737,1808035975.0,-59689858.50461936,-3.19586,37.0,,Magic Internet Money,-0.0012349619537939,-0.12388,,,,,mim,1825904628.63036,229606932.0
token/vechain,0.280991,-90.51585,2021-04-19T01:08:21.675Z,0.00191713,1290.07648,2020-03-13T02:29:59.652Z,66760741299.0,0.02735052,2345306294.0,0.03182954,vechain,https://assets.coingecko.com/coins/images/1167/large/VeChain-Logo-768x725.png?1547035194,2022-05-12T23:15:54.407Z,0.02465161,1805669816.0,-260588408.5818751,-12.61161,38.0,86712634466.0,VeChain,-0.0035025249919352,-11.35228,,eth,387.1826033450644,3.871826033450644,vet,85985041177.0,509518936.0
token/hedera-hashgraph,0.569229,-85.09452,2021-09-15T10:40:28.318Z,0.00986111,760.41303,2020-01-02T17:30:24.852Z,20400911789.3973,0.086904,,0.096255,hedera-hashgraph,https://assets.coingecko.com/coins/images/3688/large/hbar.png?1637045634,2022-05-12T23:14:51.210Z,0.075299,1763212445.0,-183573538.68762207,-9.42957,39.0,,Hedera,-0.0059799356785423,-6.43808,,,,,hbar,50000000000.0,152513703.0
token/elrond-erd-2,545.64,-85.906,2021-11-23T10:33:26.737Z,6.51,1081.90276,2020-10-07T01:44:53.554Z,22331947.0,77.73,,86.7,elrond-erd-2,https://assets.coingecko.com/coins/images/12335/large/elrond3_360.png?1626341589,2022-05-12T23:15:10.545Z,72.28,1730204928.0,-172756290.47491384,-9.07829,40.0,,Elrond,-7.507047473713186,-8.8068,,,,,egld,23661947.0,172376991.0
token/frax,1.14,-12.36175,2021-02-07T12:55:35.766Z,0.891635,12.09422,2021-12-04T05:33:57.315Z,1709706683.25473,1.003,1702070563.0,1.046,frax,https://assets.coingecko.com/coins/images/13422/large/frax_logo.png?1608476506,2022-05-12T23:14:52.669Z,0.985207,1702070563.0,-294820511.4085529,-14.76398,41.0,1709706683.25473,Frax,0.00539171,0.54058,,,,,frax,1709706683.25473,467543894.0
token/internet-computer,700.65,-99.00666,2021-05-10T16:05:53.653Z,6.11,13.82552,2022-05-12T05:59:28.032Z,230452495.604768,7.13,3312353868.0,7.96,internet-computer,https://assets.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1620703073,2022-05-12T23:15:23.164Z,6.11,1626849768.0,-119679935.51358604,-6.85244,42.0,469213710.0,Internet Computer,-0.4177770952546922,-5.5367,,,,,icp,481315977.448094,252419690.0
token/filecoin,236.84,-96.69094,2021-04-01T13:29:41.564Z,6.76,15.89999,2022-05-12T07:20:10.883Z,202468407.0,7.97,15556167388.0,8.93,filecoin,https://assets.coingecko.com/coins/images/12817/large/filecoin.png?1602753933,2022-05-12T23:14:17.544Z,6.76,1599018781.0,-150072585.98303723,-8.58003,43.0,1969728228.0,Filecoin,-0.5998744871192443,-6.99762,,,,,fil,1969728228.0,597988960.0
token/compound-ether,97.75,-60.57247,2021-11-21T12:39:57.508Z,1.89,1943.19941,2020-03-13T02:22:33.711Z,40696306.2828051,38.81,,43.26,compound-ether,https://assets.coingecko.com/coins/images/10643/large/ceth2.JPG?1581389598,2022-05-12T23:12:59.123Z,36.6,1579261458.0,-136402254.6704266,-7.95041,44.0,,cETH,-3.2482779038539817,-7.72401,,,,,ceth,40696306.2828051,1074.61
token/defichain,5.61,-48.30416,2021-12-06T03:05:01.038Z,0.162998,1680.26983,2020-07-16T10:24:06.014Z,516282902.617677,2.94,,3.18,defichain,https://assets.coingecko.com/coins/images/11757/large/symbol-defi-blockchain_200.png?1597306538,2022-05-12T23:14:19.467Z,2.73,1509534227.0,-59098885.54592633,-3.76754,45.0,,DeFiChain,-0.114433610386071,-3.74216,,,,,dfi,1200000000.0,53802332.0
token/axie-infinity,164.9,-88.7504,2021-11-06T19:29:29.482Z,0.123718,14894.02991,2020-11-06T08:05:43.662Z,78353969.76109967,18.79,5079393987.0,24.33,axie-infinity,https://assets.coingecko.com/coins/images/13029/large/axie_infinity_logo.png?1604471082,2022-05-12T23:13:34.098Z,17.8,1474039566.0,-51383371.25279236,-3.36847,46.0,270000000.0,Axie Infinity,-1.0806780596050665,-5.43768,,,,,axs,270000000.0,747083096.0
token/tezos,9.12,-82.03838,2021-10-04T00:41:18.025Z,0.350476,367.19123,2018-12-07T00:00:00.000Z,886510083.501195,1.66,,1.87,tezos,https://assets.coingecko.com/coins/images/976/large/Tezos-logo.png?1547034862,2022-05-12T23:15:17.593Z,1.47,1465015453.0,-67318585.81218004,-4.39321,47.0,,Tezos,-0.1320304729352921,-7.37476,,usd,252.82358639952108,2.5282358639952105,xtz,,199445903.0
token/the-sandbox,8.4,-87.10686,2021-11-25T06:04:40.957Z,0.02897764,3636.0216,2020-11-04T15:59:14.441Z,1227539778.2233226,1.11,3326909942.0,1.4,the-sandbox,https://assets.coingecko.com/coins/images/12129/large/sandbox_logo.jpg?1597397942,2022-05-12T23:15:04.995Z,0.99679,1361304764.0,-190955175.3796344,-12.30175,48.0,3000000000.0,The Sandbox,-0.2141333849381401,-16.16415,,,,,sand,3000000000.0,690589459.0
token/chain-2,0.116203,-31.14109,2022-04-19T17:19:07.914Z,0.04451621,79.74626,2022-03-15T12:18:14.392Z,16957724335.443071,0.079324,5465691241.0,0.080652,chain-2,https://assets.coingecko.com/coins/images/24210/large/Chain_icon_200x200.png?1646895054,2022-05-12T23:13:35.042Z,0.071298,1345309391.0,105094356.0,8.47388,48.0,68895442185.0,Chain,0.00637294,8.73595,,,,,xcn,68895442185.0,170405349.0
token/eos,22.71,-94.49935,2018-04-29T07:50:33.540Z,0.5024,148.66005,2017-10-23T00:00:00.000Z,994136518.5276,1.27,,1.45,eos,https://assets.coingecko.com/coins/images/738/large/eos-eos-logo.png?1547034481,2022-05-12T23:14:40.256Z,1.16,1253355105.0,-105461680.65254974,-7.76129,50.0,,EOS,-0.1615727147480772,-11.30515,,usd,28.04268469641505,0.2804268469641505,eos,,963395751.0
token/compound-usd-coin,0.058843,-61.53976,2020-10-21T11:24:27.820Z,0.00620705,264.60642,2021-03-04T08:11:37.438Z,54329188981.8383,0.0226813,,0.02344961,compound-usd-coin,https://assets.coingecko.com/coins/images/9442/large/Compound_USDC.png?1567581577,2022-05-12T23:08:24.266Z,0.0225165,1232256492.0,-235798676.24403837,-16.06198,51.0,,cUSDC,1.755e-05,0.07745,,,,,cusdc,54329188981.8383,0.0
token/theta-token,15.72,-92.48147,2021-04-16T13:15:11.190Z,0.04039979,2825.48817,2020-03-13T02:24:16.483Z,1000000000.0,1.2,,1.41,theta-token,https://assets.coingecko.com/coins/images/2538/large/theta-token-logo.png?1548387191,2022-05-12T23:16:00.863Z,1.05,1198987200.0,-175412299.56558323,-12.76283,52.0,,Theta Network,-0.1238251759378787,-9.32012,,usd,703.169534022718,7.03169534022718,theta,1000000000.0,234588480.0
token/pancakeswap-token,43.96,-91.0585,2021-04-30T10:08:22.934Z,0.194441,1921.747,2020-11-03T14:29:34.165Z,296240509.720477,3.95,2949921265.0,4.43,pancakeswap-token,https://assets.coingecko.com/coins/images/12632/large/pancakeswap-cake-logo_%281%29.png?1629359065,2022-05-12T23:15:22.984Z,3.35,1165181572.0,-86411280.83643007,-6.9041,53.0,750000000.0,PancakeSwap,-0.2663123804687686,-6.31216,,,,,cake,296240509.720477,212864409.0
token/huobi-btc,166135.0,-82.50908,2022-04-21T18:59:43.859Z,11209.02,159.24191,2020-10-12T03:56:16.768Z,38970.487704742,29414.0,1140544471.0,30430.0,huobi-btc,https://assets.coingecko.com/coins/images/12407/large/Unknown-5.png?1599624896,2022-05-12T23:14:49.204Z,25730.0,1140544471.0,38092232.0,3.45523,54.0,38970.487704742,Huobi BTC,706.9,2.46249,,,,,hbtc,38970.487704742,9571251.0
token/true-usd,1.62,-37.96546,2018-08-26T20:41:09.375Z,0.88355,13.63671,2020-03-12T10:47:51.380Z,1119572668.50031,1.004,,1.035,true-usd,https://assets.coingecko.com/coins/images/3449/large/tusd.png?1618395665,2022-05-12T23:14:45.076Z,0.991191,1121789417.0,-156521453.25102854,-12.2444,55.0,,TrueUSD,0.00440958,0.44112,,,,,tusd,1119572668.50031,505852733.0
token/maker,6292.31,-80.60629,2021-05-03T21:54:29.333Z,168.36,624.83424,2020-03-16T20:52:36.527Z,901310.9472893132,1258.98,1250305928.0,1273.09,maker,https://assets.coingecko.com/coins/images/1364/large/Mark_Maker.png?1585191826,2022-05-12T23:14:50.793Z,978.31,1120664475.0,86729034.0,8.38824,56.0,1005577.0,Maker,123.53,10.87943,,,,,mkr,977631.036950888,232318042.0
token/decentraland,5.85,-87.7654,2021-11-25T10:04:18.534Z,0.00923681,7649.6975,2017-10-31T00:00:00.000Z,1515804426.8280964,0.730513,1596204025.0,0.825668,decentraland,https://assets.coingecko.com/coins/images/878/large/decentraland-mana.png?1550108745,2022-05-12T23:14:35.852Z,0.63651,1102959432.0,-53205482.68065024,-4.60189,59.0,2193673727.32015,Decentraland,-0.0815776022166738,-10.04539,,usd,3552.5626247703576,35.52562624770358,mana,2193673727.32015,557255057.0
token/huobi-token,39.66,-82.33469,2021-05-12T14:42:21.586Z,0.90862,671.08114,2019-01-30T00:00:00.000Z,155225063.25441208,7.05,3509825028.0,7.58,huobi-token,https://assets.coingecko.com/coins/images/2822/large/huobi-token-logo.png?1547036992,2022-05-12T23:14:11.897Z,6.04,1089625624.0,-65767911.95779967,-5.69225,58.0,500000000.0,Huobi Token,-0.3554241060934302,-4.80235,,usd,611.6787966475615,6.116787966475616,ht,500000000.0,48956746.0
token/zcash,3191.93,-97.30007,2016-10-29T00:00:00.000Z,19.75,336.27351,2020-03-13T02:20:55.002Z,12434590.7912968,87.83,1837657380.0,87.51,zcash,https://assets.coingecko.com/coins/images/486/large/circle-zcash-color.png?1547034197,2022-05-12T23:14:25.519Z,70.21,1088119882.0,105128867.0,10.69479,59.0,21000000.0,Zcash,4.33,5.1865,,,,,zec,21000000.0,282320221.0
token/kucoin-shares,28.83,-62.44292,2021-12-01T15:09:35.541Z,0.342863,3058.01455,2019-02-07T00:00:00.000Z,98141681.7425784,10.85,,11.59,kucoin-shares,https://assets.coingecko.com/coins/images/1047/large/sa9z79.png?1610678720,2022-05-12T23:15:30.416Z,9.42,1060775309.0,-47031358.573177576,-4.24545,60.0,,KuCoin Token,-0.5166910139688436,-4.54583,,,,,kcs,145641681.742494,2048787.0
token/aave,661.69,-88.65138,2021-05-18T21:19:59.514Z,26.02,188.56112,2020-11-05T09:20:11.928Z,13715328.309442854,76.5,1218117796.0,87.42,aave,https://assets.coingecko.com/coins/images/12645/large/AAVE.png?1601374110,2022-05-12T23:14:23.535Z,66.14,1044180343.0,-90011444.21889031,-7.93617,61.0,16000000.0,Aave,-6.393344386147092,-7.71254,,,,,aave,16000000.0,410285783.0
token/klay-token,4.34,-92.00943,2021-03-30T03:44:28.828Z,0.06044,473.63685,2020-04-29T08:19:34.574Z,2817635234.4,0.349986,,0.383015,klay-token,https://assets.coingecko.com/coins/images/9672/large/klaytn.jpeg?1642775250,2022-05-12T23:14:41.505Z,0.327335,982049667.0,-38367231.974025965,-3.75996,62.0,,Klaytn,-0.0172506631027908,-4.69743,,,,,klay,,48379562.0
