_id,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,circulating_supply,current_price,fully_diluted_valuation,high_24h,id,image,last_updated,low_24h,market_cap,market_cap_change_24h,market_cap_change_percentage_24h,market_cap_rank,max_supply,name,price_change_24h,price_change_percentage_24h,roi,roi.currency,roi.percentage,roi.times,symbol,total_supply,total_volume
token/polydoge,9.3272e-08,-96.26946,2021-11-10T03:43:36.399Z,1.794e-09,93.95479,2021-05-09T21:42:35.994Z,853848329240710.0,3.485e-09,3470018.0,4.422e-09,polydoge,https://assets.coingecko.com/coins/images/15146/large/p1kSco1h_400x400.jpg?1619842715,2022-05-12T23:16:01.642Z,3.01e-09,2962869.0,-692463.4489817591,-18.94393,1433.0,1000000000000000.0,PolyDoge,-7.9620011e-10,-18.59908,,,,,polydoge,1000000000000000.0,1688868.0
token/minto,2.37,-35.74534,2021-12-22T03:02:02.054Z,1.52,0.0,2022-05-11T21:58:13.008Z,1947784.85023904,1.52,7601520.0,,minto,https://assets.coingecko.com/coins/images/21819/large/MNVvqe2n_400x400.png?1640072390,2022-05-11T21:58:13.008Z,,2961225.0,,,1434.0,5000000.0,Minto,,,,,,,btcmt,1869991.0,14384.94
token/smartcash,2.14,-99.95676,2018-01-13T00:00:00.000Z,0.00069619,33.06403,2022-05-12T07:23:45.098Z,2837206797.0,0.00092449,,0.00111387,smartcash,https://assets.coingecko.com/coins/images/832/large/Smartcash-logo.png?1547034626,2022-05-12T23:15:18.687Z,0.00069619,2947869.0,177209.0,6.39591,1435.0,,SmartCash,-7.76748842642e-05,-7.75069,,,,,smart,5000000000.0,37511.0
token/sin-city,0.710213,-97.10987,2021-11-28T03:29:56.719Z,0.02015324,1.84995,2022-05-12T12:46:29.902Z,144333559.13,0.02055639,20407115.0,0.02533398,sin-city,https://assets.coingecko.com/coins/images/19291/large/Sin_Verse_Logo_White_Text_White_Windows.png?1645276533,2022-05-12T23:13:33.025Z,0.02015324,2945431.0,-693987.5147541407,-19.06863,1436.0,1000000000.0,Sinverse,-0.0045563498066595,-18.14358,,,,,sin,1000000000.0,1208356.0
token/smart-mfg,0.131262,-93.28206,2022-01-03T22:38:21.151Z,2.877e-05,30553.96127,2020-03-20T06:04:32.003Z,331228683.167475,0.00890463,,0.01468454,smart-mfg,https://assets.coingecko.com/coins/images/1842/large/Smart_MFG_Cropped_Logo.png?1621422155,2022-05-12T23:14:56.386Z,0.00878692,2940764.0,-1940820.150983266,-39.758,1437.0,,Smart MFG,-0.0051977304982495,-36.85717,,usd,-92.57947658079968,-0.9257947658079968,mfg,868459135.741433,108579.0
token/tierion,0.383352,-98.2158,2018-01-07T00:00:00.000Z,0.00163318,318.80091,2021-01-09T16:39:38.858Z,428481269.4994199,0.00689214,,0.00828024,tierion,https://assets.coingecko.com/coins/images/923/large/tierion.png?1547034767,2022-05-12T23:14:14.094Z,0.00683535,2937740.0,-510593.5981860994,-14.80697,1438.0,,Tierion,-0.0012815148091193,-15.6786,,usd,,,tnt,1000000000.0,0.03945612
token/apwine,5.82,-94.80707,2021-10-14T13:11:49.682Z,0.294848,2.58775,2022-05-12T08:44:45.770Z,9635523.871052863,0.30429,15218257.0,0.366491,apwine,https://assets.coingecko.com/coins/images/15597/large/ApWine.png?1621340387,2022-05-12T23:13:04.112Z,0.294848,2932718.0,-608497.7123545683,-17.1833,1444.0,50000000.0,APWine,-0.0473787002513031,-13.47255,,,,,apw,50000000.0,68270.0
token/insights-network,0.140186,-90.18793,2021-10-16T17:17:15.943Z,0.00467988,193.92076,2020-03-13T02:22:38.395Z,210835683.0,0.01392793,,0.0150215,insights-network,https://assets.coingecko.com/coins/images/3504/large/2558.png?1547038269,2022-05-12T23:14:41.785Z,0.01339943,2923422.0,-85723.54213389335,-2.84877,1440.0,,INSTAR,-0.0005054709481722,-3.50209,,usd,-90.71471658415788,-0.9071471658415788,instar,300000000.0,67.41
token/pointpay,0.137299,-86.81658,2020-06-02T07:47:18.207Z,0.00727078,148.9509,2020-09-16T09:58:53.348Z,162299183.386393,0.01803819,17969083.0,0.01848539,pointpay,https://assets.coingecko.com/coins/images/8950/large/6f9823ed-464a-4413-8940-72aa61d30b43.png?1645271610,2022-05-12T23:15:00.137Z,0.01561192,2916368.0,-110010.18665542034,-3.63504,1441.0,1000000000.0,PointPay,-7.44710088199e-05,-0.41115,,usd,-81.96180658738616,-0.8196180658738615,pxp,852298093.386393,4290380.0
token/trabzonspor-fan-token,9.77,-85.71361,2022-04-01T03:50:50.524Z,0.965863,44.52542,2020-12-23T08:39:11.303Z,2055926.0,1.49,,1.6,trabzonspor-fan-token,https://assets.coingecko.com/coins/images/13059/large/TRABZ-Token-10.png?1604760760,2022-05-12T23:16:01.497Z,1.24,2913733.0,-50305.31607572269,-1.69719,1442.0,,Trabzonspor Fan Token,0.04716531,3.26896,,,,,tra,10000000.0,2311119.0
